map_no,reward,round,skill,goal_time,goal_rate,entropy,entropy_n,achivenmt_time,giveup_time,probability,path,time
0,12,11,211,11,1.0,1.9130337846301084,0.8706591963163608,77.936,857.296,0.1685823754789272:0.07279693486590039:0.022988505747126436:0.29118773946360155:0.21839080459770116:0.04597701149425287:0.06896551724137931:0.06896551724137931:0.0421455938697318,True1:4:5:8:9 True1:4:5:6:5:2:5:8:5:4:7:4:1:4:7:4:1:4:1:4:7:4:5:6:5:4:1:4:7:4:5:2:5:4:1:4:7:4:1:4:1:4:5:8:9 True1:4:7:4:5:4:1:4:5:6:5:4:1:4:1:4:1:4:1:4:5:2:3:2:5:4:1:4:7:4:5:2:5:8:5:6:5:4:1:4:7:4:5:6:5:2:5:8:9 True1:4:5:6:5:2:5:8:9 True1:4:7:4:1:4:7:4:1:4:1:4:7:4:1:4:1:4:5:8:9 True1:4:1:4:5:6:5:2:3:2:5:4:1:4:1:4:5:8:9 True1:4:7:4:5:2:5:8:5:4:1:4:1:4:1:4:1:4:7:4:5:8:5:6:5:4:1:4:7:4:1:4:5:6:5:2:3:2:5:8:9 True1:4:7:4:1:4:5:8:9 True1:4:5:2:3:2:5:6:5:8:9 True1:4:7:4:5:8:5:4:1:4:5:8:9 True1:4:5:2:3:2:5:6:5:8:5:4:1:4:5:2:3:2:5:6:5:4:7:4:1:4:5:8:5:4:7:4:1:4:5:2:5:8:9 ,0.2:2.74:4.483:5.795:7.341 8.091:9.132:10.292:11.273:22.906:23.55:30.111:31.081:34.846:39.428:40.724:46.748:52.373:54.337:55.859:65.981:72.566:78.954:83.942:85.857:87.555:100.219:100.964:102.083:105.978:109.866:115.708:117.503:118.74:121.938:122.911:123.996:131.962:139.761:145.283:147.36:148.927:155.245:161.68:165.003:169.819:177.631:178.668:179.789:180.795 181.345:183.99:185.442:190.67:191.514:193.537:196.591:199.865:201.299:202.57:204.865:208.916:211.725:213.745:221.98:224.427:227.167:230.715:236.358:239.177:240.426:241.727:243.172:251.441:257.948:263.074:267.927:269.9:271.351:277.726:278.459:279.843:288.025:289.202:295.255:296.465:300.686:305.945:311.417:316.509:317.89:326.658:327.477:329.084:335.174:336.308:353.116:354.408:355.803 356.353:357.481:359.177:360.661:364.011:364.813:374.51:375.794:376.825 377.425:378.209:379.705:383.411:388.241:390.756:392.145:394.973:397.001:400.544:404.684:406.524:408.145:412.096:414.898:425.922:432.234:434.626:435.724:436.783:437.947 438.547:440.608:447.824:452.075:453.346:454.512:458.742:459.526:460.65:466.054:472.154:473.789:477.118:482.658:485.271:488.359:489.934:490.993:492.679 493.329:496.396:497.818:503.11:504.326:505.652:514.318:515.159:524.744:529.522:533.096:539.245:541.928:544.807:548.662:551.717:554.265:556.295:557.394:564.281:565.383:566.477:573.804:574.907:583.139:591.438:593.494:599.965:601.623:608.452:615.637:617.5:618.785:620.349:623.386:624.238:625.248:636.809:640.009:640.852:642.25 642.9:645.724:647.404:655.525:661.675:663.719:665.106:666.713:668.064 668.914:669.754:671.381:672.618:673.544:678.904:687.134:687.724:693.871:694.977:696.279 696.779:697.627:698.878:704.761:706.061:707.465:712.734:716.341:718.349:721.535:722.697:724.118:725.528 726.028:728.892:729.867:731.098:732.594:738.464:741.776:742.448:750.3:750.848:759.473:765.441:769.366:771.548:772.825:773.894:774.759:782.723:792.621:793.522:798.684:804.436:805.638:810.515:815.033:817.295:818.852:820.216:831.758:836.206:837.333:843.199:846.244:848.191:849.029:849.73:857.35:858.692:859.506 
0,12,6,198,3,0.5,1.833363698950844,0.834399777729367,81.135,783.405,0.17727272727272728:0.05909090909090909:0.022727272727272728:0.33181818181818185:0.19545454545454546:0.05:0.1:0.05:0.013636363636363636,True1:4:7:4:5:2:3:2:5:8:9 True1:4:7:4:1:4:1:4:7:4:5:6:5:8:9 False1:4:7:4:1:4:5:2:5:4:7:4:1:4:5:6:5:8:5:4:7:4:1:4:5:2:3:2:5:6:5:4:1:4:1:4:5:2:3:2:5:6:5:4:1:4:5:8 False1:4:7:4:1:4:1:4:7:4:1:4:1:4:5:2:3:2:5:6:5:8:5:4:7:4:1:4:5:2:3:2:5:8:5:6:5:4:7:4:1:4:5:8:5:2:5:6 False1:4:5:6:5:4:1:4:1:4:7:4:5:6:5:8:5:4:1:4:1:4:1:4:7:4:1:4:1:4:7:4:1:4:1:4:7:4:5:2:5:8:5:6:5 True1:4:1:4:7:4:1:4:7:4:1:4:5:4:7:4:1:4:7:4:1:4:5:4:7:4:1:4:7:4:5:6:5:8:5:4:1:4:7:4:1:4:7:4:5:4:1:4:1:4:5:8:9 ,0.2:6.431:7.767:14.438:15.226:16.359:17.523:23.167:27.779:28.948:30.261 30.911:34.675:35.831:41.609:45.95:49.503:62.986:69.156:70.708:82.967:84.343:85.644:92.995:93.658:94.799 95.399:99.042:100.483:106.111:112.858:114.453:115.903:117.195:123.762:129.671:130.329:134.544:146.132:148.352:149.375:150.918:156.037:157.331:161.138:165.855:166.985:174.863:180.591:184.252:185.928:187.123:188.545:199.036:203.024:204.407:214.867:218.713:225.479:228.817:236.586:239.043:240.216:241.253:242.6:246.29:251.285:252.401:261.598:265.134:269.678:271.719:273.096:274.783 275.559:278.822:280.0:286.054:292.175:301.937:306.096:310.24:311.539:315.569:321.207:323.519:328.491:330.586:331.393:332.489:333.743:336.337:342.493:343.75:353.965:354.8:361.208:363.519:364.905:370.631:375.083:377.095:378.301:379.695:380.86:387.254:394.253:394.938:403.472:404.822:411.928:415.185:415.888:428.012:434.218:436.049:437.67:439.035:444.364:445.631:453.21:454.307 455.919:460.583:462.168:463.358:471.073:477.206:479.617:484.121:489.4:498.857:499.897:504.182:504.814:506.109:509.184:510.286:517.095:523.984:528.916:530.733:535.614:541.854:547.959:551.477:552.625:555.6:557.743:561.216:563.359:565.468:566.991:570.049:571.594:573.866:580.018:583.397:584.833:595.481:596.587:597.46:607.197:608.264:611.394:612.628:622.018 636.079:638.192:640.713:644.293:645.963:648.83:651.011:654.518:655.689:659.631:661.495:663.771:665.31:667.212:668.026:670.307:675.628:681.585:682.962:696.367:698.294:700.688:701.978:703.755:705.069:709.161:712.789:714.734:716.205:718.874:719.814:721.158:724.118:725.319:730.316:741.826:745.356:751.967:752.946:755.52:758.541:760.897:762.144:764.714:765.951:770.27:773.655:775.917:778.895:780.838:781.825:782.992:784.265 
0,12,5,124,4,0.8,1.882279052308264,0.8566621144344853,54.275999999999996,397.10400000000004,0.1504424778761062:0.05309734513274336:0.017699115044247787:0.2743362831858407:0.26548672566371684:0.07079646017699115:0.05309734513274336:0.07964601769911504:0.035398230088495575,True1:4:5:8:5:6:5:4:1:4:5:6:5:8:9 True1:4:1:4:5:6:5:4:7:4:1:4:5:6:5:2:3:2:5:8:5:4:1:4:5:8:5:4:1:4:5:6:5:8:9 False1:4:5:8:5:4:7:4:1:4:5:8:5:2:5:6:5:4:7:4:1:4:5:6:5:2:5:4:1:4:5:4:1:4:1:4:1:4:7:4:5:6:5 True1:4:7:4:5:2:3:2:5:8:9 True1:4:7:4:1:4:5:8:9 ,0.15:2.749:4.247:5.712:13.96:14.482:18.846:26.824:32.449:34.869:36.076:37.554:43.013:43.865:45.039 45.789:48.133:51.079:54.594:55.643:57.162:61.899:71.309:72.5:77.138:80.854:83.163:84.535:85.902:91.674:92.851:94.149:101.268:105.114:106.381:111.52:117.272:125.753:129.265:130.862:132.509:137.728:146.896:151.243:154.887:156.211:157.519:163.05:164.215:165.298 166.048:172.88:174.499:175.759:183.744:188.373:189.735:197.214:202.326:208.037:209.385:210.507:220.913:222.19:231.965:233.349:241.538:254.223:254.941:262.992:266.909:270.322:271.702:272.72:283.853:284.436:290.683:293.094:297.12:300.774:302.24:307.168:310.135:312.344:316.865:320.476:325.499:327.486:328.842:331.748:332.875:333.945:342.979 346.208:346.955:348.374:356.475:357.576:358.574:359.783:364.971:370.992:371.984:373.262 373.812:375.583:376.909:382.103:387.563:394.559:395.566:396.859:397.754 
0,12,9,171,8,0.8888888888888888,1.9502148728469881,0.8875810388081992,60.27012499999999,662.161,0.16580310880829016:0.07772020725388601:0.031088082901554404:0.2849740932642487:0.20207253886010362:0.05699481865284974:0.08290155440414508:0.05699481865284974:0.04145077720207254,True1:4:1:4:7:4:1:4:7:4:5:6:5:2:3:2:5:4:1:4:7:4:1:4:7:4:5:6:5:8:9 True1:4:7:4:5:6:5:2:5:8:9 True1:4:5:2:5:8:5:6:5:4:7:4:1:4:1:4:1:4:5:6:5:8:9 True1:4:5:4:7:4:1:4:1:4:7:4:5:6:5:2:3:2:5:4:1:4:5:8:9 True1:4:1:4:7:4:1:4:7:4:1:4:7:4:1:4:1:4:5:2:5:6:5:8:9 True1:4:5:2:3:2:5:8:9 True1:4:7:4:5:6:5:8:9 False1:4:7:4:5:6:5:4:1:4:7:4:1:4:1:4:7:4:5:2:3:2:5:4:1:4:5:8:5:4:1:4:1:4:5:2:3:2:5:8:5:6:5:4:1:4:7:4:1 True1:4:5:6:5:2:3:2:5:8:9 ,0.15:1.314:12.703:15.086:16.148:29.413:32.716:35.257:36.552:45.199:46.304:47.869:53.849:55.022:56.552:63.595:68.068:74.845:81.362:89.024:90.666:96.11:100.857:103.232:104.875:110.146:111.295:112.67:121.041:121.648:123.384 124.084:125.191:126.531:133.585:134.318:135.314:149.958:150.625:157.163:158.259:159.635 160.335:164.529:165.381:166.498:169.17:169.691:179.931:180.8:184.46:192.032:193.363:201.507:212.029:215.4:222.895:224.974:228.61:232.958:234.488:235.978:241.793:242.808:244.495 245.145:246.595:248.099:262.647:263.963:269.466:272.357:274.727:285.728:288.064:289.15:294.475:295.725:297.279:300.765:301.911:302.942:313.735:318.502:327.597:330.665:338.161:339.089:340.19:341.393 341.993:344.209:347.354:349.18:350.04:353.307:357.711:363.508:364.32:372.327:375.417:383.176:384.48:388.179:393.312:395.565:401.137:404.248:405.703:407.217:412.965:414.105:418.604:419.274:420.931 421.531:422.416:423.456:424.574:426.15:435.46:440.054:440.754:442.442 442.942:443.874:444.817:448.42:449.56:450.588:454.094:455.235:456.405 457.005:460.412:461.925:466.619:467.732:469.023:475.995:480.172:488.436:491.824:493.126:497.349:500.042:502.63:507.873:510.87:512.182:520.136:521.195:522.377:523.633:527.614:536.328:542.938:548.889:551.42:552.441:553.335:557.934:569.438:576.251:580.356:585.505:588.83:589.937:591.103:592.705:596.761:600.706:601.768:607.805:608.685:611.973:620.94:623.044:625.219:626.313:632.603:635.242 637.165:639.616:641.237:642.683:644.842:645.988:647.636:655.433:660.905:662.208:663.651 
0,12,5,165,3,0.6,1.870021225627116,0.8510833370952983,46.03133333333333,498.094,0.17518248175182483:0.08759124087591241:0.029197080291970802:0.31386861313868614:0.20437956204379562:0.043795620437956206:0.08029197080291971:0.043795620437956206:0.021897810218978103,True1:4:5:8:9 True1:4:5:8:5:2:3:2:5:4:1:4:7:4:1:4:7:4:5:2:5:6:5:8:5:4:1:4:5:2:5:8:9 False1:4:7:4:1:4:1:4:5:8:5:6:5:2:5:4:1:4:7:4:1:4:7:4:1:4:1:4:7:4:1:4:5:6:5:2:3:2:5:4:1:4:7:4:1:4:7:4 True1:4:1:4:5:6:5:2:5:8:9 False1:4:1:4:1:4:5:2:3:2:5:4:7:4:1:4:7:4:5:2:3:2:5:6:5:4:1:4:1:4:5:4:7:4:1:4:5:6:5:4 ,0.15:2.244:3.084:4.559:6.166 6.766:7.742:9.283:10.599:14.89:15.51:17.215:25.701:30.461:36.332:40.86:42.979:44.254:48.934:54.228:56.632:58.18:61.32:61.979:62.994:66.243:67.193:72.755:73.671:79.368:84.219:91.463:93.923:95.316:96.486:103.479:104.221:105.634 106.234:107.331:108.903:113.917:117.724:120.073:123.732:128.362:129.929:130.857:138.536:139.33:143.428:144.509:152.256:156.242:159.769:162.422:163.928:166.967:174.555:179.376:181.015:189.044:194.849:200.746:203.116:208.114:209.86:215.487:218.898:220.861:222.079:223.202:230.162:231.085:232.378:242.013:249.127:257.429:262.779:265.898:267.186:270.859:274.999:278.543:279.452:285.174 286.394:287.543:292.673:300.612:302.253:303.629:307.88:309.279:315.69:316.724:318.334 318.934:321.298:325.907:329.501:335.299:342.615:343.791:344.894:346.137:356.552:365.327:370.687:371.599:377.521:383.452:387.619:388.68:393.52:394.63:395.914:397.41:405.403:410.817:411.893:421.077:425.761:434.548:439.479:444.182:446.381:447.285:453.647:454.527:465.106:471.066:473.011:474.493:475.429:487.226:498.267 
0,12,9,155,9,1.0,1.891407482906636,0.8608166422385747,64.31300000000002,578.8170000000001,0.16759776536312848:0.061452513966480445:0.0111731843575419:0.3016759776536313:0.2122905027932961:0.05027932960893855:0.08379888268156424:0.061452513966480445:0.05027932960893855,True1:4:1:4:7:4:1:4:5:8:9 True1:4:7:4:1:4:7:4:5:4:1:4:7:4:1:4:7:4:5:2:5:6:5:4:1:4:5:2:5:6:5:4:1:4:5:6:5:8:9 True1:4:5:8:9 True1:4:5:8:9 True1:4:7:4:5:2:5:4:1:4:5:2:3:2:5:8:9 True1:4:1:4:5:8:5:6:5:4:7:4:1:4:5:4:7:4:1:4:7:4:1:4:7:4:5:2:5:8:5:6:5:4:1:4:7:4:5:2:5:8:9 True1:4:1:4:7:4:5:2:5:6:5:4:1:4:7:4:5:2:5:6:5:8:9 True1:4:1:4:5:4:1:4:7:4:1:4:1:4:1:4:1:4:7:4:5:6:5:8:9 True1:4:5:6:5:2:3:2:5:8:9 ,0.2:9.854:14.148:17.362:18.695:24.24:29.254:32.847:33.971:35.049:36.784 37.434:42.127:43.395:51.728:64.866:66.89:68.271:72.665:73.71:82.406:86.247:88.849:89.896:96.049:102.221:107.119:108.185:117.816:119.028:120.496:125.779:126.436:130.221:136.819:141.997:145.52:146.889:147.988:154.238:154.97:159.578:166.676:170.796:173.716:174.904:176.249:181.855:183.003:183.942 184.442:187.749:188.93:190.486:191.747 192.297:196.345:197.391:198.881:200.195 200.895:201.931:203.125:213.518:214.714:215.809:219.432:224.355:232.022:237.412:238.748:239.948:241.487:245.24:262.288:263.353:264.87 265.42:266.815:269.587:271.57:272.779:274.063:279.858:280.824:289.459:294.234:295.443:306.604:310.156:312.634:314.215:321.067:321.633:324.342:329.613:331.89:332.934:336.797:338.959:342.146:343.68:347.399:348.763:349.728:353.63:354.805:360.828:362.197:373.754:378.324:387.341:389.618:390.977:398.649:399.773:400.986:411.955:412.854:413.687 414.237:415.311:418.904:420.562:421.608:426.894:428.154:429.83:434.938:435.918:443.472:447.736:450.409:454.974:456.668:464.787:465.378:466.263:469.236:470.513:475.366:476.713:478.312 478.812:479.933:487.711:489.601:490.907:494.466:499.289:502.539:504.07:507.782:512.94:516.322:524.282:528.417:531.703:534.247:536.281:539.269:540.578:544.116:545.389:546.22:551.158:552.0:553.606 554.206:556.254:557.214:558.63:564.7:565.657:566.505:571.245:577.523:578.819:580.157 
0,12,8,210,6,0.75,1.9055072319362845,0.8672337145647645,77.98583333333333,827.9150000000001,0.16228070175438597:0.08771929824561403:0.03070175438596491:0.2850877192982456:0.2324561403508772:0.05263157894736842:0.06578947368421052:0.05701754385964912:0.02631578947368421,True1:4:7:4:5:8:9 True1:4:7:4:1:4:1:4:7:4:5:2:3:2:5:6:5:8:5:4:1:4:7:4:1:4:5:8:9 False1:4:5:2:5:8:5:6:5:4:7:4:1:4:7:4:5:2:3:2:5:6:5:4:1:4:5:2:5:4:7:4:1:4:5:8:5:2:3:2:5:6:5:4:7:4:1:4:1 True1:4:5:6:5:4:1:4:7:4:5:2:3:2:5:6:5:8:5:4:1:4:1:4:1:4:5:4:1:4:5:8:5:2:5:6:5:4:1:4:5:8:9 True1:4:1:4:5:2:3:2:5:8:9 False1:4:5:2:5:6:5:4:7:4:1:4:7:4:1:4:5:6:5:2:5:8:5:4:7:4:1:4:1:4:7:4:1:4:5:2:3:2:5:6:5:4:1 True1:4:1:4:5:8:9 True1:4:5:4:1:4:1:4:1:4:7:4:5:8:5:4:1:4:7:4:5:2:3:2:5:6:5:4:1:4:1:4:5:6:5:2:5:8:9 ,0.15:1.504:2.995:10.169:11.512:13.188:14.463 15.063:16.319:17.346:21.721:28.992:31.353:41.627:44.204:45.234:52.405:52.985:54.014:55.012:65.277:75.901:76.693:82.107:83.335:91.356:100.305:109.253:112.826:114.539:119.348:121.813:126.94:128.511:129.745:131.087 131.687:132.694:134.348:135.456:139.334:140.716:154.365:155.545:158.228:162.35:163.146:170.357:174.347:176.597:177.854:184.325:185.379:186.939:188.321:193.629:202.824:203.999:207.239:214.598:231.551:233.654:235.226:236.273:245.224:253.517:254.826:258.099:263.73:266.185:267.681:269.042:272.227:273.145:274.195:277.906:282.562:283.891:288.86:295.076:295.695:298.416:301.125:303.192:309.949 311.947:314.517:315.591:316.706:321.084:327.051:330.649:333.126:334.524:337.453:338.625:340.03:341.673:350.022:353.529:354.59:359.654:360.902:364.509:374.442:382.965:385.755:391.208:393.289:403.765:406.256:407.835:411.447:417.309:420.877:422.339:423.276:430.749:431.312:434.451:435.669:444.351:446.857:448.928:453.062:454.601:456.147:457.082 457.632:458.582:464.183:466.049:467.363:468.384:469.67:475.605:481.903:482.703:484.014 484.514:485.669:487.108:488.088:491.365:492.35:512.985:516.224:517.378:520.722:526.312:534.341:535.679:542.294:546.851:551.631:552.878:554.532:558.485:559.419:567.464:568.456:572.114:579.778:580.742:585.441:592.679:596.256:602.948:609.648:610.613:621.933:629.943:632.315:633.23:634.274:635.199:640.491:642.963:643.913:652.181:655.878:661.534 664.674:667.194:671.049:674.041:675.757:677.527:678.742 679.342:680.326:681.491:689.35:691.544:693.983:699.414:703.505:705.266:713.15:714.007:726.99:727.861:728.902:735.557:741.767:747.705:753.183:754.8:762.219:762.713:763.763:765.046:774.523:777.41:778.555:781.651:787.099:791.405:793.911:796.425:801.144:802.323:803.84:818.132:819.397:826.524:827.645:828.995 
0,12,10,250,9,0.9,1.9305180570493574,0.8786166316188758,84.72077777777777,942.487,0.1541501976284585:0.08695652173913043:0.02766798418972332:0.2766798418972332:0.22924901185770752:0.043478260869565216:0.07114624505928854:0.07509881422924901:0.03557312252964427,True1:4:7:4:5:8:9 True1:4:7:4:5:8:5:2:5:6:5:4:1:4:5:8:9 True1:4:7:4:5:8:9 True1:4:7:4:5:4:1:4:1:4:5:2:3:2:5:8:5:4:1:4:1:4:7:4:1:4:1:4:5:2:5:8:9 True1:4:1:4:1:4:5:2:3:2:5:8:9 True1:4:5:6:5:4:7:4:1:4:7:4:1:4:7:4:5:6:5:8:5:2:5:4:1:4:7:4:5:6:5:2:3:2:5:4:1:4:1:4:1:4:5:8:9 True1:4:1:4:1:4:5:2:5:8:9 True1:4:7:4:5:8:5:6:5:2:5:4:1:4:7:4:5:2:5:4:1:4:7:4:5:6:5:2:3:2:5:8:9 True1:4:5:8:5:6:5:4:1:4:7:4:5:2:3:2:5:8:5:6:5:4:1:4:7:4:1:4:5:2:3:2:5:6:5:8:5:4:7:4:1:4:5:8:9 False1:4:7:4:1:4:7:4:5:2:5:6:5:8:5:4:1:4:1:4:1:4:7:4:1:4:5:6:5:2:5:8:5:4:1:4:5:8:5:2:3:2 ,0.35:1.398:2.768:10.562:11.744:13.529:15.267 16.067:24.796:26.43:35.949:36.865:38.546:51.538:52.494:60.831:62.188:68.947:75.42:85.303:89.722:91.378:92.367:93.801 94.451:95.49:97.032:102.1:103.386:104.978:106.254 106.854:110.367:111.455:118.112:119.067:127.309:133.286:135.688:142.531:146.796:148.116:149.209:150.03:160.253:167.139:167.836:180.645:187.401:194.481:196.629:203.097:207.542:208.629:219.458:227.102:230.619:236.755:239.82:241.369:242.538:249.297:250.422:251.883 252.383:253.344:260.698:263.046:265.358:267.588:268.634:269.712:271.271:277.891:285.596:286.442:287.374 287.874:289.171:290.652:292.05:295.991:302.559:303.952:321.858:326.591:329.92:331.104:335.771:342.308:347.005:348.477:353.694:354.751:356.337:360.387:361.118:369.071:369.88:375.964:380.306:385.017:387.343:388.525:393.904:394.832:396.172:400.348:401.26:402.769:411.889:415.736:420.87:426.668:429.177:436.441:439.487:445.731:449.282:450.411:451.821:452.918 453.518:459.237:461.971:473.233:476.678:480.788:481.803:483.024:486.615:487.922:489.474 490.074:494.66:496.021:502.989:503.991:505.321:512.966:514.365:523.194:524.234:531.052:539.277:541.658:546.294:547.534:555.979:556.919:557.838:563.792:570.427:582.854:585.053:586.262:591.457:592.249:593.384:600.367:601.211:602.292:604.939:607.986:608.738:609.821 610.471:612.505:613.696:615.311:627.368:628.359:638.998:642.581:645.05:646.87:648.585:652.402:653.57:654.712:656.252:665.298:670.912:671.6:679.125:680.037:687.821:694.786:700.039:703.404:704.712:709.145:714.571:716.642:717.868:719.402:720.419:724.487:728.074:729.117:733.084:734.325:738.802:746.182:747.074:752.694:756.125:761.264:762.255:763.196:764.327 765.027:766.087:767.3:771.189:774.75:776.558:777.822:782.563:783.316:784.678:788.074:788.916:794.54:795.22:801.045:814.398:818.213:821.714:829.394:833.619:839.345:843.888:845.386:850.125:855.749:857.823:859.404:860.593:884.722:885.34:888.592:889.464:895.398:908.335:910.892:914.324:915.932:917.196:928.477:929.314:930.945:941.812 
0,12,4,60,4,1.0,1.8449631185892943,0.8396789011098786,41.945,167.78,0.2:0.06:0.0:0.3:0.18:0.02:0.08:0.08:0.08,True1:4:5:6:5:2:5:8:9 True1:4:5:8:9 True1:4:7:4:1:4:1:4:1:4:7:4:1:4:7:4:5:4:1:4:7:4:1:4:5:2:5:8:9 True1:4:5:2:5:8:9 ,0.2:3.714:4.87:6.198:28.376:29.298:36.504:37.668:38.853 39.503:40.735:41.661:42.706:44.324 44.974:47.053:48.032:52.78:57.154:63.62:69.052:75.102:80.65:84.152:85.388:90.032:94.554:99.784:101.212:109.163:110.304:115.656:119.733:122.682:124.069:133.896:138.367:141.736:143.035:144.388:151.409:152.369:153.626 154.176:157.564:158.543:159.62:165.897:166.733:168.27 
0,12,8,193,7,0.875,1.8901047906338344,0.8602237614351108,72.3562857142857,686.494,0.17435897435897435:0.05641025641025641:0.020512820512820513:0.30256410256410254:0.2153846153846154:0.05641025641025641:0.07179487179487179:0.06666666666666667:0.035897435897435895,False1:4:1:4:7:4:5:8:5:6:5:2:3:2:5:4:1:4:1:4:5:8:5:6:5:2:5:4:7:4:1:4:7:4:1:4:1:4:7:4 True1:4:7:4:1:4:5:6:5:4:1:4:7:4:1:4:7:4:1:4:5:4:1:4:5:2:3:2:5:6:5:4:7:4:1:4:5:8:9 True1:4:1:4:1:4:5:8:5:4:7:4:1:4:5:8:5:6:5:4:7:4:1:4:5:6:5:2:3:2:5:8:9 True1:4:5:4:1:4:5:6:5:8:9 True1:4:1:4:1:4:5:6:5:4:1:4:1:4:5:8:9 True1:4:1:4:7:4:5:2:5:6:5:8:5:4:1:4:7:4:5:8:5:4:1:4:7:4:1:4:5:8:9 True1:4:5:2:5:6:5:8:9 True1:4:1:4:7:4:5:2:3:2:5:6:5:8:9 ,0.25:1.005:7.429:9.944:11.357:19.644:20.905:22.199:27.798:28.603:37.822:38.619:40.135:46.262:58.401:68.222:78.046:80.572:88.275:94.72:95.814:96.954:111.761:112.714:120.283:121.107:127.698:130.185:131.371:140.608:147.922:154.053:155.702:159.229:162.435:165.667:169.471:171.941:173.284:179.798 180.61:181.388:182.686:192.742:195.537:198.662:199.825:200.876:206.784:213.781:216.912:218.918:220.407:230.821:236.741:245.957:247.522:252.844:257.472:259.793:261.305:268.513:273.689:276.88:278.194:279.355:280.313:292.565:296.768:298.164:302.634:309.213:310.555:315.463:328.416:330.234:331.411:332.303:333.548 334.098:338.342:341.726:344.565:347.555:350.693:352.317:353.841:357.063:364.502:365.632:371.423:372.983:375.407:376.387:377.717:385.996:387.284:396.735:401.767:402.765:407.865:409.488:421.644:422.767:424.06:427.404:428.486:429.821:434.136:443.941:444.665:445.737 446.287:447.547:448.866:452.972:456.332:458.312:459.345:461.076:466.261:467.611:469.3 469.85:471.154:475.404:477.072:479.423:483.049:484.666:485.623:487.544:490.556:493.396:499.27:507.076:509.084:510.588:511.754:512.7 513.4:514.341:516.418:526.331:527.534:535.741:536.461:537.732:542.553:543.246:549.869:551.031:556.092:563.955:567.366:569.581:571.002:581.024:582.089:583.009:587.107:591.851:597.508:599.846:601.232:607.341:611.541:613.735:615.136:616.394:617.495 618.045:619.323:620.551:621.983:629.692:630.594:640.462:640.92:642.47 643.02:644.192:650.719:654.022:654.976:662.286:663.611:665.029:665.903:670.131:673.05:673.893:685.087:686.486:688.024 
