map_no,reward,round,skill,goal_time,goal_rate,entropy,entropy_n,achivenmt_time,giveup_time
0,15,8,278,0,0,2.038614722,0.66960082,0,1440
0,15,12,493,1,0.083333333,2.240773227,0.736001548,42.294,2022.294
0,15,4,229,1,0.25,2.454886698,0.806328989,125.925,665.925
0,15,7,321,0,0,2.167509459,0.711937423,0,1260
0,15,8,359,2,0.25,2.361909657,0.775789867,104.4235,1288.847
0,15,12,408,2,0.166666667,2.175757472,0.714646555,56.229,1912.458
0,15,10,348,2,0.2,2.234640383,0.733987162,71.6575,1583.315
0,15,8,329,1,0.125,2.193132971,0.72035369,48.529,1308.529
0,15,15,525,4,0.266666667,2.246056381,0.737736846,129.90075,2499.603
0,15,9,397,2,0.222222222,2.258341381,0.741771962,166.8515,1593.703
